sample_id,building_id,damage_level,split
2_0021_002,B030,2,train
2_0021_003,B024,4,test
2_0021_004,B025,5,val
2_0021_005,B031,1,train
2_0021_006,B028,4,val
2_0021_007,B028,5,val
2_0021_008,B026,3,train
2_0024_000,B028,5,val
2_0024_001,B028,4,val
2_0027_000,B032,0,train
2_0027_001,B029,1,test
2_0027_002,B024,4,test
2_0027_003,B025,5,val
2_0027_004,B031,1,train
2_0027_005,B028,4,val
2_0027_006,B028,5,val
2_0030_000,B033,0,train
2_0030_001,B029,1,test
2_0030_002,B031,2,train
2_0030_003,B030,3,train
2_0030_004,B024,4,test
2_0030_005,B025,5,val
2_0030_006,B032,0,train
2_0030_007,B028,5,val
2_0030_008,B028,4,val
2_0033_000,B032,0,train
2_0033_001,B029,1,test
2_0033_002,B030,2,train
2_0033_003,B034,4,val
2_0033_004,B025,5,val
2_0033_005,B031,1,train
2_0033_006,B028,4,val
2_0033_007,B028,5,val
2_0033_008,B023,4,test
2_0033_009,B024,4,test
2_0036_000,B032,0,train
2_0036_001,B029,1,test
2_0036_002,B030,3,train
2_0036_003,B034,4,val
2_0036_004,B025,5,val
2_0036_005,B031,1,train
2_0036_006,B028,5,val
2_0036_007,B024,4,test
2_0036_008,B028,4,val
2_0046_000,B033,0,train
2_0046_001,B035,1,train
2_0046_002,B036,3,test
2_0046_003,B025,5,val
2_0046_004,B029,0,test
2_0046_005,B031,1,train
2_0046_006,B024,3,test
2_0046_007,B027,5,test
2_0046_008,B032,0,train
2_0046_009,B030,2,train
2_0053_000,B033,0,train
2_0053_001,B030,2,train
2_0053_002,B024,4,test
2_0053_003,B025,5,val
2_0053_004,B032,0,train
2_0053_005,B031,2,train
2_0056_000,B031,2,train
2_0056_001,B024,4,test
2_0056_002,B025,5,val
2_0059_000,B032,0,train
2_0059_001,B031,1,train
2_0059_002,B034,4,val
2_0059_003,B025,5,val
2_0059_004,B024,4,test
2_0062_000,B033,0,train
2_0062_001,B035,2,train
2_0062_002,B036,3,test
2_0062_003,B034,4,val
2_0062_004,B028,5,val
2_0062_005,B032,0,train
2_0062_006,B031,2,train
2_0062_007,B030,3,train
2_0062_008,B024,4,test
2_0065_000,B033,0,train
2_0065_001,B031,1,train
2_0065_002,B035,2,train
2_0065_003,B036,3,test
2_0065_004,B034,4,val
2_0065_005,B032,0,train
2_0065_006,B030,3,train
2_0065_007,B024,4,test
2_0068_000,B033,0,train
2_0068_001,B035,1,train
2_0068_002,B036,3,test
2_0068_003,B034,4,val
2_0068_004,B032,0,train
2_0068_005,B031,1,train
2_0068_006,B030,3,train
2_0068_007,B024,4,test
2_0078_000,B033,0,train
2_0078_001,B035,1,train
2_0078_002,B036,3,test
2_0078_003,B034,4,val
2_0078_004,B032,0,train
2_0078_005,B031,1,train
2_0078_006,B030,3,train
2_0078_007,B024,3,test
2_0085_000,B033,0,train
2_0085_001,B035,2,train
2_0085_002,B036,3,test
2_0085_003,B032,0,train
2_0085_004,B031,2,train
2_0085_005,B030,3,train
2_0085_006,B034,4,val
2_0088_000,B032,0,train
2_0088_001,B031,2,train
2_0088_002,B034,4,val
2_0091_000,B033,0,train
2_0091_001,B031,1,train
2_0091_002,B030,3,train
2_0091_003,B034,4,val
2_0091_004,B032,0,train
2_0094_000,B033,0,train
2_0094_001,B035,1,train
2_0094_002,B036,3,test
2_0094_003,B034,4,val
2_0094_004,B032,0,train
2_0094_005,B031,1,train
2_0094_006,B030,3,train
2_0097_000,B033,0,train
2_0097_001,B035,1,train
2_0097_002,B036,3,test
2_0097_003,B034,4,val
2_0097_004,B032,0,train
2_0097_005,B031,1,train
2_0097_006,B030,3,train
2_0100_000,B033,0,train
2_0100_001,B035,1,train
2_0100_002,B036,3,test
2_0100_003,B034,4,val
2_0100_004,B031,1,train
2_0100_005,B030,3,train
2_0110_000,B035,1,train
2_0110_001,B036,3,test
2_0110_002,B025,5,val
2_0110_003,B030,3,train
2_0190_000,B037,0,train
2_0190_001,B038,1,val
2_0190_002,B039,2,train
2_0190_003,B040,3,train
2_0190_004,B041,1,train
2_0190_005,B042,2,train
2_0190_006,B043,3,train
2_0190_007,B044,1,val
2_0190_008,B045,2,val
2_0190_009,B046,3,val
2_0190_010,B047,1,val
2_0190_011,B048,2,train
2_0190_012,B049,3,val
2_0190_013,B050,2,train
2_0190_014,B051,3,test
2_0190_015,B052,3,train
2_0193_000,B053,0,train
2_0193_001,B038,1,val
2_0193_002,B054,2,train
2_0193_003,B040,3,train
2_0193_004,B037,0,train
2_0193_005,B041,1,train
2_0193_006,B045,2,val
2_0193_007,B043,3,train
2_0193_008,B044,1,val
2_0193_009,B042,3,train
2_0193_010,B047,1,val
2_0193_011,B046,3,val
2_0193_012,B049,3,val
2_0193_013,B051,3,test
2_0193_014,B052,3,train
2_0193_015,B050,3,train
2_0213_000,B050,3,train
2_0222_000,B037,0,train
2_0222_001,B038,1,val
2_0222_002,B039,2,train
2_0222_003,B040,3,train
2_0222_004,B041,1,train
2_0222_005,B042,2,train
2_0222_006,B043,3,train
2_0222_007,B044,1,val
2_0222_008,B045,2,val
2_0222_009,B046,3,val
2_0222_010,B049,3,val
2_0222_011,B051,3,test
2_0222_012,B050,3,train
2_0225_000,B038,0,val
2_0225_001,B041,1,train
2_0225_002,B045,2,val
2_0225_003,B040,3,train
2_0225_004,B037,0,train
2_0225_005,B044,1,val
2_0225_006,B055,3,val
2_0225_007,B043,3,train
2_0225_008,B042,3,train
2_0225_009,B046,3,val
2_0225_010,B049,3,val
2_0225_011,B051,3,test
2_0225_012,B052,3,train
2_0225_013,B050,3,train
2_0238_000,B037,0,train
2_0238_001,B045,1,val
2_0238_002,B046,3,val
2_0238_003,B044,0,val
2_0238_004,B049,3,val
2_0238_005,B048,3,train
2_0238_006,B051,3,test
2_0245_000,B037,0,train
2_0245_001,B044,1,val
2_0245_002,B045,2,val
2_0245_003,B048,3,train
2_0245_004,B051,2,test
2_0251_000,B037,0,train
2_0251_001,B045,2,val
2_0251_002,B048,3,train
2_0251_003,B044,0,val
2_0251_004,B051,3,test
2_0251_005,B050,0,train
2_0254_000,B037,0,train
2_0254_001,B041,1,train
2_0254_002,B045,2,val
2_0254_003,B042,3,train
2_0254_004,B044,1,val
2_0254_005,B048,2,train
2_0254_006,B046,3,val
2_0254_007,B049,3,val
2_0254_008,B051,3,test
2_0257_000,B041,0,train
2_0257_001,B044,1,val
2_0257_002,B045,2,val
2_0257_003,B046,3,val
2_0257_004,B037,0,train
2_0257_005,B049,3,val
2_0257_006,B051,3,test
2_0257_007,B050,3,train
2_0302_000,B056,3,test
2_0302_001,B057,4,test
2_0302_002,B058,5,test
2_0302_003,B027,5,test
2_0302_004,B023,4,test
2_0309_000,B056,2,test
2_0309_001,B027,4,test
2_0309_002,B028,5,val
2_0309_003,B023,4,test
2_0309_004,B025,5,val
2_0312_000,B023,4,test
2_0312_001,B025,5,val
2_0315_000,B023,4,test
2_0315_001,B027,5,test
2_0315_002,B025,5,val
2_0318_000,B023,4,test
2_0318_001,B027,5,test
2_0318_002,B025,5,val
2_0321_000,B029,3,test
2_0321_001,B023,4,test
2_0321_002,B025,5,val
2_0334_000,B029,3,test
2_0334_001,B025,4,val
2_0341_000,B029,3,test
2_0341_001,B025,4,val
2_0347_000,B029,3,test
2_0347_001,B025,4,val
2_0350_000,B029,2,test
2_0353_000,B059,0,val
2_0353_001,B029,3,test
2_0366_000,B059,1,val
2_0382_000,B037,0,train
2_0382_001,B041,1,train
2_0382_002,B045,2,val
2_0382_003,B043,3,train
2_0382_004,B047,1,val
2_0382_005,B046,3,val
2_0382_006,B060,3,test
2_0382_007,B044,1,val
2_0382_008,B052,3,train
2_0382_009,B051,3,test
2_0385_000,B037,0,train
2_0385_001,B038,1,val
2_0385_002,B045,2,val
2_0385_003,B043,3,train
2_0385_004,B048,2,train
2_0385_005,B046,3,val
2_0385_006,B041,1,train
2_0385_007,B060,3,test
2_0385_008,B047,1,val
2_0385_009,B049,3,val
2_0385_010,B044,1,val
2_0385_011,B051,3,test
2_0385_012,B052,3,train
2_0398_000,B046,0,val
2_0398_001,B038,1,val
2_0398_002,B051,3,test
2_0398_003,B043,4,train
2_0398_004,B041,0,train
2_0398_005,B047,1,val
2_0398_006,B052,3,train
2_0398_007,B037,0,train
2_0398_008,B045,1,val
2_0398_009,B044,1,val
2_0414_000,B053,0,train
2_0414_001,B038,1,val
2_0414_002,B039,2,train
2_0414_003,B040,3,train
2_0414_004,B037,0,train
2_0414_005,B041,1,train
2_0414_006,B042,2,train
2_0414_007,B043,3,train
2_0414_008,B047,1,val
2_0414_009,B045,2,val
2_0414_010,B046,3,val
2_0414_011,B044,1,val
2_0414_012,B048,2,train
2_0414_013,B049,3,val
2_0414_014,B051,3,test
2_0414_015,B052,3,train
2_0417_000,B053,0,train
2_0417_001,B038,1,val
2_0417_002,B039,2,train
2_0417_003,B040,3,train
2_0417_004,B037,0,train
2_0417_005,B041,1,train
2_0417_006,B045,2,val
2_0417_007,B043,3,train
2_0417_008,B047,1,val
2_0417_009,B046,3,val
2_0417_010,B044,1,val
2_0417_011,B049,3,val
2_0417_012,B051,3,test
2_0417_013,B052,3,train
2_0430_000,B037,0,train
2_0430_001,B038,1,val
2_0430_002,B045,2,val
2_0430_003,B043,3,train
2_0430_004,B041,1,train
2_0430_005,B042,3,train
2_0430_006,B046,3,val
2_0430_007,B052,3,train
2_0430_008,B051,3,test
2_0430_009,B047,1,val
2_0430_010,B044,1,val
2_0446_000,B053,0,train
2_0446_001,B038,1,val
2_0446_002,B054,2,train
2_0446_003,B040,3,train
2_0446_004,B037,0,train
2_0446_005,B041,1,train
2_0446_006,B045,2,val
2_0446_007,B043,3,train
2_0446_008,B047,1,val
2_0446_009,B042,3,train
2_0446_010,B044,1,val
2_0446_011,B046,3,val
2_0446_012,B052,3,train
2_0446_013,B051,3,test
2_0449_000,B053,0,train
2_0449_001,B038,1,val
2_0449_002,B039,2,train
2_0449_003,B040,3,train
2_0449_004,B041,0,train
2_0449_005,B047,1,val
2_0449_006,B042,2,train
2_0449_007,B043,3,train
2_0449_008,B037,0,train
2_0449_009,B044,1,val
2_0449_010,B045,2,val
2_0449_011,B046,3,val
2_0449_012,B052,3,train
2_0449_013,B051,3,test
2_0462_000,B045,0,val
2_0462_001,B041,1,train
2_0462_002,B039,2,train
2_0462_003,B043,3,train
2_0462_004,B047,1,val
2_0462_005,B042,3,train
2_0462_006,B044,1,val
2_0462_007,B046,3,val
2_0462_008,B051,3,test
2_0478_000,B045,0,val
2_0478_001,B041,1,train
2_0478_002,B038,2,val
2_0478_003,B043,3,train
2_0478_004,B047,1,val
2_0478_005,B039,2,train
2_0478_006,B046,3,val
2_0478_007,B042,2,train
2_0478_008,B052,3,train
2_0478_009,B044,1,val
2_0481_000,B053,0,train
2_0481_001,B038,1,val
2_0481_002,B039,2,train
2_0481_003,B040,3,train
2_0481_004,B045,0,val
2_0481_005,B041,1,train
2_0481_006,B042,2,train
2_0481_007,B043,3,train
2_0481_008,B046,3,val
2_0481_009,B047,1,val
2_0481_010,B052,3,train
2_0481_011,B044,1,val
2_0510_000,B045,0,val
2_0510_001,B038,1,val
2_0510_002,B039,2,train
2_0510_003,B040,3,train
2_0510_004,B041,1,train
2_0510_005,B042,2,train
2_0510_006,B043,3,train
2_0510_007,B047,1,val
2_0510_008,B046,3,val
2_0510_009,B044,1,val
2_0510_010,B052,3,train
2_0513_000,B053,0,train
2_0513_001,B038,1,val
2_0513_002,B054,2,train
2_0513_003,B040,3,train
2_0513_004,B060,4,test
2_0513_005,B041,1,train
2_0513_006,B039,3,train
2_0513_007,B047,1,val
2_0513_008,B043,3,train
2_0513_009,B042,3,train
2_0513_010,B046,3,val
2_0513_011,B052,3,train
2_0542_000,B053,0,train
2_0542_001,B038,1,val
2_0542_002,B054,2,train
2_0542_003,B040,3,train
2_0542_004,B041,1,train
2_0542_005,B043,3,train
2_0542_006,B042,3,train
2_0542_007,B047,1,val
2_0542_008,B046,3,val
2_0542_009,B052,3,train
2_0545_000,B053,0,train
2_0545_001,B038,1,val
2_0545_002,B054,2,train
2_0545_003,B040,3,train
2_0545_004,B041,1,train
2_0545_005,B039,2,train
2_0545_006,B043,3,train
2_0545_007,B042,2,train
2_0545_008,B047,1,val
2_0545_009,B046,3,val
2_0545_010,B060,3,test
2_0545_011,B052,3,train
2_0561_000,B053,0,train
2_0561_001,B046,1,val
2_0561_002,B047,2,val
2_0561_003,B039,3,train
2_0561_004,B040,4,train
2_0561_005,B041,1,train
2_0561_006,B042,3,train
2_0561_007,B043,4,train
2_0561_008,B060,4,test
2_0565_000,B053,0,train
2_0565_001,B041,1,train
2_0565_002,B039,2,train
2_0565_003,B040,3,train
2_0565_004,B047,1,val
2_0565_005,B042,2,train
2_0565_006,B043,3,train
2_0565_007,B060,3,test
2_0568_000,B060,4,test
2_0574_000,B053,0,train
2_0574_001,B039,2,train
2_0574_002,B040,3,train
2_0574_003,B060,4,test
2_0574_004,B043,3,train
2_0574_005,B042,3,train
2_0577_000,B053,0,train
2_0577_001,B039,2,train
2_0577_002,B043,3,train
2_0577_003,B060,4,test
2_0577_004,B061,5,train
2_0577_005,B062,0,train
2_0577_006,B042,2,train
2_0577_007,B040,0,train
2_0580_000,B062,0,train
2_0580_001,B039,2,train
2_0580_002,B063,3,test
2_0580_003,B064,4,train
2_0580_004,B061,5,train
2_0580_005,B053,0,train
2_0580_006,B043,3,train
2_0580_007,B060,4,test
2_0580_008,B040,0,train
2_0593_000,B062,0,train
2_0593_001,B065,1,train
2_0593_002,B066,3,train
2_0593_003,B061,4,train
2_0593_004,B043,3,train
2_0593_005,B063,4,test
2_0593_006,B060,4,test
2_0597_000,B062,0,train
2_0597_001,B065,1,train
2_0597_002,B066,2,train
2_0597_003,B061,4,train
2_0597_004,B043,2,train
2_0597_005,B060,4,test
2_0606_000,B062,0,train
2_0606_001,B067,1,train
2_0606_002,B066,2,train
2_0606_003,B061,4,train
2_0606_004,B065,0,train
2_0609_000,B062,0,train
2_0609_001,B067,1,train
2_0609_002,B066,3,train
2_0609_003,B063,4,test
2_0609_004,B061,5,train
2_0609_005,B065,0,train
2_0612_000,B062,0,train
2_0612_001,B067,1,train
2_0612_002,B043,3,train
2_0612_003,B061,5,train
2_0612_004,B065,0,train
2_0612_005,B066,3,train
2_0625_000,B062,0,train
2_0625_001,B067,1,train
2_0625_002,B066,2,train
2_0625_003,B043,3,train
2_0625_004,B061,5,train
2_0625_005,B065,0,train
2_0625_006,B068,3,train
2_0635_000,B067,1,train
2_0635_001,B064,5,train
2_0635_002,B065,1,train
2_0638_000,B065,0,train
2_0638_001,B062,1,train
2_0638_002,B043,3,train
2_0638_003,B064,4,train
2_0638_004,B067,1,train
2_0638_005,B068,3,train
2_0641_000,B062,1,train
2_0641_001,B069,2,val
2_0641_002,B043,3,train
2_0641_003,B064,5,train
2_0641_004,B068,3,train
2_0641_005,B067,1,train
2_0641_006,B065,1,train
2_0644_000,B062,1,train
2_0644_001,B043,3,train
2_0644_002,B064,5,train
2_0644_003,B067,1,train
2_0644_004,B068,3,train
2_0657_000,B062,1,train
2_0657_001,B069,2,val
2_0657_002,B043,3,train
2_0657_003,B067,1,train
2_0657_004,B068,3,train
2_0661_000,B070,1,train
2_0661_001,B069,2,val
2_0661_002,B043,3,train
2_0661_003,B062,1,train
2_0661_004,B068,3,train
2_0661_005,B067,1,train
2_0667_000,B062,1,train
2_0667_001,B043,3,train
2_0667_002,B068,3,train
2_0670_000,B070,0,train
2_0670_001,B062,1,train
2_0670_002,B071,2,test
2_0670_003,B072,3,train
2_0670_004,B068,4,train
2_0670_005,B073,3,train
2_0670_006,B069,3,val
2_0673_000,B070,0,train
2_0673_001,B072,1,train
2_0673_002,B071,2,test
2_0673_003,B074,3,val
2_0673_004,B075,5,train
2_0673_005,B062,1,train
2_0673_006,B073,3,train
2_0673_007,B068,3,train
2_0676_000,B072,1,train
2_0676_001,B071,2,test
2_0676_002,B073,3,train
2_0676_003,B062,1,train
2_0676_004,B068,3,train
2_0689_000,B070,0,train
2_0689_001,B071,2,test
2_0689_002,B074,3,val
2_0689_003,B075,5,train
2_0689_004,B073,3,train
2_0693_000,B070,0,train
2_0693_001,B071,2,test
2_0693_002,B074,3,val
2_0693_003,B075,5,train
2_0693_004,B073,3,train
2_0696_000,B073,3,train
2_0699_000,B070,0,train
2_0699_001,B071,2,test
2_0699_002,B074,3,val
2_0699_003,B075,5,train
2_0699_004,B073,3,train
2_0702_000,B070,0,train
2_0702_001,B074,3,val
2_0702_002,B075,5,train
2_0702_003,B071,3,test
2_0702_004,B073,3,train
2_0705_000,B070,0,train
2_0705_001,B071,2,test
2_0705_002,B074,3,val
2_0705_003,B075,5,train
2_0705_004,B073,3,train
2_0708_000,B070,0,train
2_0708_001,B071,2,test
2_0708_002,B074,3,val
2_0708_003,B075,5,train
2_0708_004,B073,3,train
2_0721_000,B070,0,train
2_0721_001,B076,2,test
2_0721_002,B077,3,train
2_0721_003,B075,5,train
2_0721_004,B074,3,val
2_0725_000,B070,0,train
2_0725_001,B076,2,test
2_0725_002,B074,3,val
2_0725_003,B078,4,val
2_0725_004,B075,5,train
2_0725_005,B077,4,train
2_0728_000,B070,0,train
2_0728_001,B077,4,train
2_0731_000,B070,0,train
2_0731_001,B074,3,val
2_0731_002,B077,4,train
2_0731_003,B075,5,train
2_0734_000,B070,0,train
2_0734_001,B076,2,test
2_0734_002,B074,3,val
2_0734_003,B078,4,val
2_0734_004,B077,5,train
2_0734_005,B075,5,train
2_0737_000,B070,0,train
2_0737_001,B076,2,test
2_0737_002,B074,3,val
2_0737_003,B078,4,val
2_0737_004,B077,5,train
2_0737_005,B075,5,train
2_0740_000,B070,0,train
2_0740_001,B076,1,test
2_0740_002,B079,3,train
2_0740_003,B078,4,val
2_0740_004,B077,5,train
2_0740_005,B074,3,val
2_0753_000,B070,0,train
2_0753_001,B076,2,test
2_0753_002,B074,3,val
2_0753_003,B077,5,train
2_0757_000,B070,0,train
2_0757_001,B076,2,test
2_0757_002,B079,3,train
2_0757_003,B078,4,val
2_0757_004,B077,5,train
2_0757_005,B080,2,val
2_0757_006,B074,3,val
2_0760_000,B070,0,train
2_0760_001,B074,3,val
2_0763_000,B070,0,train
2_0763_001,B076,2,test
2_0763_002,B077,5,train
2_0766_000,B070,0,train
2_0766_001,B076,2,test
2_0766_002,B079,3,train
2_0766_003,B081,4,val
2_0766_004,B077,5,train
2_0766_005,B078,4,val
2_0769_000,B070,0,train
2_0769_001,B076,1,test
2_0769_002,B082,3,train
2_0769_003,B083,4,train
2_0769_004,B077,5,train
2_0769_005,B079,3,train
2_0769_006,B081,4,val
2_0769_007,B084,5,train
2_0769_008,B078,4,val
2_0772_000,B070,0,train
2_0772_001,B076,1,test
2_0772_002,B083,3,train
2_0772_003,B081,4,val
2_0772_004,B079,3,train
2_0772_005,B078,4,val
2_0785_000,B085,1,train
2_0785_001,B079,3,train
2_0785_002,B081,4,val
2_0785_003,B076,1,test
2_0785_004,B082,3,train
2_0785_005,B078,4,val
2_0789_000,B082,2,train
2_0789_001,B081,4,val
2_0789_002,B076,2,test
2_0789_003,B078,4,val
2_0792_000,B076,2,test
2_0792_001,B081,4,val
2_0792_002,B078,4,val
2_0795_000,B076,2,test
2_0795_001,B081,4,val
2_0795_002,B078,4,val
2_0798_000,B086,0,train
2_0798_001,B076,2,test
2_0798_002,B082,3,train
2_0798_003,B081,4,val
2_0798_004,B078,4,val
2_0801_000,B086,0,train
2_0801_001,B076,1,test
2_0801_002,B082,3,train
2_0801_003,B081,4,val
2_0801_004,B078,4,val
2_0804_000,B086,0,train
2_0804_001,B085,1,train
2_0804_002,B081,4,val
2_0804_003,B076,1,test
2_0817_000,B081,3,val
2_0821_000,B086,0,train
2_0821_001,B081,4,val
2_0824_000,B081,4,val
2_0827_000,B086,0,train
2_0827_001,B085,1,train
2_0827_002,B081,4,val
2_0830_000,B086,0,train
2_0830_001,B085,1,train
2_0830_002,B081,4,val
2_0836_000,B086,0,train
2_0836_001,B085,1,train
2_0836_002,B081,4,val
2_0862_000,B086,0,train
2_0862_001,B085,1,train
2_0862_002,B081,3,val
2_0865_000,B086,0,train
2_0865_001,B008,1,test
2_0865_002,B087,2,train
2_0865_003,B085,1,train
2_0865_004,B081,2,val
3_0002_000,B001,0,test
3_0002_001,B008,1,test
3_0002_002,B087,2,train
3_0002_003,B088,3,train
3_0002_004,B089,1,train
3_0002_005,B090,3,test
3_0004_000,B001,0,test
3_0004_001,B008,1,test
3_0004_002,B087,2,train
3_0004_003,B088,3,train
3_0004_004,B089,1,train
3_0004_005,B090,3,test
3_0005_000,B001,0,test
3_0005_001,B008,1,test
3_0005_002,B087,2,train
3_0005_003,B088,3,train
3_0005_004,B090,3,test
3_0021_000,B001,0,test
3_0021_001,B002,1,train
3_0021_002,B087,2,train
3_0021_003,B088,3,train
3_0021_004,B008,1,test
3_0021_005,B090,3,test
3_0024_000,B002,0,train
3_0024_001,B008,1,test
3_0024_002,B087,2,train
3_0024_003,B088,3,train
3_0024_004,B090,3,test
3_0028_000,B008,1,test
3_0028_001,B087,2,train
3_0028_002,B088,3,train
3_0028_003,B090,3,test
3_0031_000,B008,1,test
3_0031_001,B087,2,train
3_0031_002,B088,3,train
3_0031_003,B090,3,test
3_0056_000,B008,0,test
3_0056_001,B091,1,train
3_0056_002,B087,3,train
3_0056_003,B092,4,train
3_0059_000,B087,2,train
3_0085_000,B006,1,val
3_0085_001,B091,2,train
3_0085_002,B092,3,train
3_0085_003,B003,2,train
3_0088_000,B006,1,val
3_0088_001,B091,2,train
3_0088_002,B092,3,train
3_0088_003,B003,2,train
3_0091_000,B091,2,train
3_0091_001,B092,3,train
3_0091_002,B003,2,train
3_0184_000,B093,4,train
3_0216_000,B093,4,train
3_0248_000,B093,4,train
3_0277_000,B094,1,val
3_0277_001,B095,2,train
3_0277_002,B096,3,train
3_0277_003,B097,4,train
3_0277_004,B098,1,test
3_0280_000,B099,0,train
3_0280_001,B094,1,val
3_0280_002,B096,2,train
3_0280_003,B098,4,test
3_0280_004,B097,5,train
3_0280_005,B095,1,train
3_0283_000,B094,1,val
3_0283_001,B095,2,train
3_0283_002,B100,3,train
3_0283_003,B101,4,train
3_0283_004,B098,5,test
3_0283_005,B099,1,train
3_0283_006,B096,3,train
3_0286_000,B094,1,val
